1024,1,29.296492,1138264,8913264
1024,2,43.717606,982456,16691488
1024,8,161.451014,3629304,63362336
1024,16,318.489742,1715384,125589056
1024,128,2780.553689,2875928,996764864
1024,256,5006.258367,2809816,1992390592
1024,1024,25354.321056,597144,7966150896
1024,2048,47113.473524,1882168,15931160144
1024,4096,100471.073992,1067624,31861190656
2048,1,46.894655,2535880,17841600
2048,2,93.642972,2530264,33399744
2048,8,331.834568,2327832,126740336
2048,16,737.552328,2141624,251194240
2048,128,5147.254349,4051896,1993541760
2048,256,10038.766325,1678744,3984795904
2048,1024,40668.692918,4143288,15932314096
2048,2048,94896.479267,3792936,31862356704
2048,4096,172800.049697,1131112,63722489216
4096,1,93.999986,2271720,35611312
4096,2,176.386373,3628200,66725200
4096,8,638.325597,3887432,253406096
4096,16,1329.707252,3057080,502313088
4096,128,10264.29312,3603576,3987018256
4096,256,19786.126616,831192,7969532960
4096,1024,109568.541942,1823064,31864591744
4096,2048,185118.162153,2719848,63724721408
4096,4096,320990.596235,755544,127444939648
8192,1,178.46915,3605256,71280128
8192,2,336.421163,1838136,133506448
8192,8,1312.124016,911048,506870000
8192,16,2603.516358,3180312,1004683632
8192,128,20364.679588,2760040,7974096560
8192,256,40603.927821,3478792,15939148048
8192,1024,169052.937958,3060392,63729396208
8192,2048,373933.940766,1122216,127449677808
8192,4096,668057.14152,1802328,254890341424
16384,1,375.427208,2095784,142617648
16384,2,751.872462,1750088,267071808
16384,8,2759.851203,2639240,1013798944
16384,16,5568.207894,3188328,2009428976
16384,128,46350.060556,2208760,15948273136
16384,256,87819.572896,2744760,31878410448
16384,1024,359199.912157,2433752,127459174336
16384,2048,750801.58216,2704584,254899883280
16384,4096,1409759.351253,4033112,509781841776
